model,experiment,feature,layer,language,score
xl500,transfer,voicing,,de_de,0.799
xl500,transfer,voicing,,es_419,0.844
xl500,transfer,manner,,de_de,0.72
xl500,transfer,manner,,es_419,0.585
xl500,layer_analysis,voicing,0.0,,0.536
xl500,layer_analysis,manner,0.0,,0.867
xl500,layer_analysis,voicing,3.0,,0.541
xl500,layer_analysis,manner,3.0,,1.0
xl500,layer_analysis,voicing,6.0,,0.513
xl500,layer_analysis,manner,6.0,,1.0
xl500,layer_analysis,voicing,9.0,,0.525
xl500,layer_analysis,manner,9.0,,0.844
xl500,layer_analysis,voicing,12.0,,0.518
xl500,layer_analysis,manner,12.0,,0.861
xl500,language_specific,voicing,,en_us,0.511
xl500,language_specific,manner,,en_us,1.0
xl500,language_specific,voicing,,de_de,1.0
xl500,language_specific,manner,,de_de,0.684
xl500,language_specific,manner,,es_419,0.533
xl53,transfer,voicing,,de_de,0.869
xl53,transfer,voicing,,es_419,0.778
xl53,transfer,manner,,de_de,0.651
xl53,transfer,manner,,es_419,0.578
xl53,layer_analysis,voicing,0.0,,0.61
xl53,layer_analysis,manner,0.0,,0.638
xl53,layer_analysis,voicing,3.0,,0.534
xl53,layer_analysis,manner,3.0,,0.822
xl53,layer_analysis,voicing,6.0,,0.515
xl53,layer_analysis,manner,6.0,,0.744
xl53,layer_analysis,voicing,9.0,,0.522
xl53,layer_analysis,manner,9.0,,0.713
xl53,layer_analysis,voicing,12.0,,0.513
xl53,layer_analysis,manner,12.0,,0.84
xl53,language_specific,voicing,,en_us,0.531
xl53,language_specific,manner,,en_us,0.738
xl53,language_specific,voicing,,de_de,1.0
xl53,language_specific,manner,,de_de,0.936
xl53,language_specific,manner,,es_419,0.229
base,transfer,voicing,,de_de,0.814
base,transfer,voicing,,es_419,0.663
base,transfer,manner,,de_de,0.659
base,transfer,manner,,es_419,0.469
base,layer_analysis,voicing,0.0,,0.432
base,layer_analysis,manner,0.0,,0.69
base,layer_analysis,voicing,3.0,,0.53
base,layer_analysis,manner,3.0,,0.735
base,layer_analysis,voicing,6.0,,0.512
base,layer_analysis,manner,6.0,,0.818
base,layer_analysis,voicing,9.0,,0.52
base,layer_analysis,manner,9.0,,0.813
base,layer_analysis,voicing,12.0,,0.418
base,layer_analysis,manner,12.0,,0.814
base,language_specific,voicing,,en_us,0.52
base,language_specific,manner,,en_us,0.832
base,language_specific,voicing,,de_de,1.0
base,language_specific,manner,,de_de,0.523
base,language_specific,manner,,es_419,0.323
