uid,date,week,stage,model,dataset,condition,seed,n_seeds,hyperparams,metric,within_score,cross_score,baseline_score,status,artifact,notes
001,2026-04-24,W01,probing,base,"FLEURS(en_us,de_de,es_419)",utterance_level / no_alignment / EN->others,unrecorded,1,probe=logistic_regression;split_grouping=none;layers_probed=0|3|6|9|12,unrecorded,0.62,0.618,na,success,docs/experiments_phase1.csv,"Exploratory notebook sweep, run locally."
002,2026-04-24,W01,probing,xlsr53,"FLEURS(en_us,de_de,es_419)",utterance_level / no_alignment / EN->others,unrecorded,1,probe=logistic_regression;split_grouping=none;layers_probed=0|3|6|9|12,unrecorded,0.66,0.69,na,success,docs/experiments_phase1.csv,"Exploratory notebook sweep, run locally."
003,2026-04-24,W01,probing,xlsr300m,"FLEURS(en_us,de_de,es_419)",utterance_level / no_alignment / EN->others,unrecorded,1,probe=logistic_regression;split_grouping=none;layers_probed=0|3|6|9|12,unrecorded,0.733,0.717,na,success,docs/experiments_phase1.csv,"Exploratory notebook sweep, run locally."
004,2026-05-10,W03,extraction,base,"FLEURS(en_us,de_de,es_419)",first SLURM submission,na,0,script=scripts/extract_features.py,na,na,na,na,failed,slurm/logs/feature_extraction_1596403.err,"Failed at startup, no embeddings produced."
005,2026-05-29,W06,extraction,base,"FLEURS(en_us,de_de,es_419)",retry after env fix,na,0,script=scripts/extract_features.py,na,na,na,na,failed,slurm/logs/feature_extraction_1662287.err,"Environment now works (torch imports, model config downloads succeed) but the pytorch_model."
006,2026-05-29,W06,probing,base,"FLEURS(en_us,de_de,es_419)",utterance_level / no_alignment / EN->others,unrecorded,1,probe=logistic_regression;split_grouping=none;layers_probed=0|3|6|9|12,unrecorded,0.64,0.651,na,success,docs/experiments_phase2.csv,"Second exploratory sweep, same protocol as W01, scores ~0."
007,2026-05-29,W06,probing,xlsr53,"FLEURS(en_us,de_de,es_419)",utterance_level / no_alignment / EN->others,unrecorded,1,probe=logistic_regression;split_grouping=none;layers_probed=0|3|6|9|12,unrecorded,0.687,0.719,na,success,docs/experiments_phase2.csv,"Second exploratory sweep, same protocol as W01, scores ~0."
008,2026-05-29,W06,probing,xlsr300m,"FLEURS(en_us,de_de,es_419)",utterance_level / no_alignment / EN->others,unrecorded,1,probe=logistic_regression;split_grouping=none;layers_probed=0|3|6|9|12,unrecorded,0.746,0.737,na,success,docs/experiments_phase2.csv,"Second exploratory sweep, same protocol as W01, scores ~0."
009,2026-06-11,W07,extraction,base,"FLEURS(en_us,de_de,es_419)","frozen model, all layers kept",na,0,script=src/extract_features.py;max_samples=100;dtype=float32;output_hidden_states=True,na,na,na,na,success,"artifacts/embeddings/base/ (gitignored, not in repo)","Hidden states for 100 utterances x 3 languages, every layer kept."
010,2026-06-11,W07,extraction,xlsr53,"FLEURS(en_us,de_de,es_419)","frozen model, all layers kept",na,0,script=src/extract_features.py;max_samples=100;dtype=float32;output_hidden_states=True,na,na,na,na,success,"artifacts/embeddings/xlsr53/ (gitignored, not in repo)","Hidden states for 100 utterances x 3 languages, every layer kept."
011,2026-06-11,W07,extraction,xlsr300m,"FLEURS(en_us,de_de,es_419)","frozen model, all layers kept",na,0,script=src/extract_features.py;max_samples=100;dtype=float32;output_hidden_states=True,na,na,na,na,success,"artifacts/embeddings/xlsr300m/ (gitignored, not in repo)","Hidden states for 100 utterances x 3 languages, every layer kept."
012,2026-06-29,W10,labelling,na,"FLEURS(en_us,de_de,es_419)",uniform frame assignment,na,0,script=src/precompute_phonemes.py (removed in 0edd662);g2p=gruut;features_lib=panphon,na,na,na,na,success,artifacts/phoneme_cache.pkl,Built the phoneme label cache used by the W11 run.
013,2026-07-06,W11,probing,base,"FLEURS(en_us,de_de,es_419)",uniform_alignment / EN->others,0,1,probe=logistic_regression;scaler=standard;max_iter=2000;class_weight=balanced;n_probe=100;layer_stride=3;split_grouping=utterance,macro_f1,0.391,0.371,0.618,success,results/20260706_21094441,First end-to-end run of the full 4-feature grid.
014,2026-07-06,W11,probing,xlsr53,"FLEURS(en_us,de_de,es_419)",uniform_alignment / EN->others,0,1,probe=logistic_regression;scaler=standard;max_iter=2000;class_weight=balanced;n_probe=100;layer_stride=3;split_grouping=utterance,macro_f1,0.397,0.368,0.618,success,results/20260706_21094441,First end-to-end run of the full 4-feature grid.
015,2026-07-06,W11,probing,xlsr300m,"FLEURS(en_us,de_de,es_419)",uniform_alignment / EN->others,0,1,probe=logistic_regression;scaler=standard;max_iter=2000;class_weight=balanced;n_probe=100;layer_stride=3;split_grouping=utterance,macro_f1,0.395,0.379,0.618,success,results/20260706_21094441,First end-to-end run of the full 4-feature grid.
