model,feature,layer,accuracy,macro_f1,majority,n,n_classes
base,voicing,6,0.5490277203144394,0.5321554451549295,0.6218452627223832,2417,2
base,nasal,6,0.5969750889679716,0.4721043629239018,0.8818208778173191,6744,2
base,manner,6,0.25688305127557465,0.21820986509765533,0.3127052285930791,3959,5
base,place,6,0.38317757009345793,0.3382648628167242,0.652690073250821,3959,3
xlsr53,voicing,12,0.5622672734795201,0.5460380185477114,0.6218452627223832,2417,2
xlsr53,nasal,12,0.593564650059312,0.4655099395155723,0.8818208778173191,6744,2
xlsr53,manner,12,0.26698661278100533,0.2238562481462283,0.3127052285930791,3959,5
xlsr53,place,12,0.3864612275827229,0.34003898749048894,0.652690073250821,3959,3
xlsr300m,voicing,12,0.5544062887877534,0.5392764128427296,0.6218452627223832,2417,2
xlsr300m,nasal,12,0.5858540925266904,0.4592698641545575,0.8818208778173191,6744,2
xlsr300m,manner,12,0.2639555443293761,0.2211142925796533,0.3127052285930791,3959,5
xlsr300m,place,12,0.38570346046981563,0.33334323553594875,0.652690073250821,3959,3
