model,feature,test,layer,accuracy,macro_f1,majority,n,n_classes
base,voicing,de_de,6,0.5151255095473074,0.5057783507960012,0.5955803475649002,4661,2
base,voicing,es_419,6,0.4843325931408833,0.47983196476688517,0.6792499383172959,4053,2
base,nasal,de_de,6,0.6176259851922618,0.4836678021747519,0.860441047687286,12561,2
base,nasal,es_419,6,0.6660550458715596,0.4770650208448714,0.8996663886572144,11990,2
base,manner,de_de,6,0.24018567639257293,0.20017543710519684,0.2856763925729443,7540,5
base,manner,es_419,6,0.25899705014749264,0.20847577751386032,0.3355457227138643,6780,5
base,place,de_de,6,0.3596816976127321,0.3231590777592796,0.5827586206896552,7540,3
base,place,es_419,6,0.33584070796460175,0.29323839410723146,0.7017699115044248,6780,3
xlsr53,voicing,de_de,12,0.49817635700493457,0.4980817257171401,0.5955803475649002,4661,2
xlsr53,voicing,es_419,12,0.5206020231926968,0.48278014524623114,0.6792499383172959,4053,2
xlsr53,nasal,de_de,12,0.5842687684101584,0.46856579657353226,0.860441047687286,12561,2
xlsr53,nasal,es_419,12,0.6682235195996664,0.47964302559041305,0.8996663886572144,11990,2
xlsr53,manner,de_de,12,0.2493368700265252,0.19563613291095389,0.2856763925729443,7540,5
xlsr53,manner,es_419,12,0.2482300884955752,0.20116893302813915,0.3355457227138643,6780,5
xlsr53,place,de_de,12,0.3860742705570292,0.33722950274034774,0.5827586206896552,7540,3
xlsr53,place,es_419,12,0.3224188790560472,0.28515321316523357,0.7017699115044248,6780,3
xlsr300m,voicing,de_de,12,0.552671100622184,0.49138082766224334,0.5955803475649002,4661,2
xlsr300m,voicing,es_419,12,0.5618060695780903,0.49697857074572194,0.6792499383172959,4053,2
xlsr300m,nasal,de_de,12,0.7281267415014728,0.4982635593729142,0.860441047687286,12561,2
xlsr300m,nasal,es_419,12,0.7512927439532944,0.5037799635368794,0.8996663886572144,11990,2
xlsr300m,manner,de_de,12,0.25676392572944295,0.191224682371735,0.2856763925729443,7540,5
xlsr300m,manner,es_419,12,0.2650442477876106,0.2046360930858515,0.3355457227138643,6780,5
xlsr300m,place,de_de,12,0.35729442970822284,0.32171019246306104,0.5827586206896552,7540,3
xlsr300m,place,es_419,12,0.4588495575221239,0.32126648800909025,0.7017699115044248,6780,3
