model,feature,layer,language,accuracy,accuracy_std,macro_f1,macro_f1_std,majority,majority_std,majority_acc,majority_acc_std,n,n_classes,n_splits
base,voicing,0,en_us,0.7739097349144244,0.01731130233143673,0.7697854839228779,0.017937244053724627,0.36354781224341265,0.006515647251393422,0.5713758230838103,0.01620485854317842,3225,2,5
base,voicing,0,de_de,0.7921137684061595,0.015382835170717738,0.783827736658802,0.0154359406419232,0.37774733869593935,0.0023806385764874303,0.6070878683327399,0.006176104262273798,4378,2,5
base,voicing,0,es_419,0.8112267976431948,0.0366806698198479,0.7904451764957958,0.041239740662557145,0.40201371457950535,0.010230085289065842,0.672765813488936,0.028450638772566022,3895,2,5
base,nasal,0,en_us,0.8414621027032684,0.007142305722253772,0.6931865266213899,0.010603487042575634,0.4708542834800743,0.0009987234386480298,0.889845334030811,0.0035679468958034,8766,2,5
base,nasal,0,de_de,0.8482002589598027,0.008451846836424234,0.7478018125841169,0.00808230195177575,0.46313614521786645,0.002013484514065083,0.8626957651200764,0.006967435867154922,11952,2,5
base,nasal,0,es_419,0.8434426905660111,0.018278667796612198,0.6873506679849198,0.02186145972261079,0.47325181768409513,0.0009884608688558259,0.8984470179298196,0.003556965203912145,11564,2,5
base,manner,0,en_us,0.6134990635356676,0.012052335823429372,0.5443059331123326,0.014616111806676742,0.09677393008551889,0.0019868885261517346,0.3192048040209283,0.008701250522606644,5220,5,5
base,manner,0,de_de,0.6527827525891459,0.012074063252341598,0.5673304503590618,0.021773595971935674,0.09645736123255617,0.0025802959505719265,0.3178662146015167,0.011079605492750612,7137,5,5
base,manner,0,es_419,0.6336320330378602,0.034412617316318,0.5550576182349057,0.020779888767096,0.09939679678848527,0.001599227867592734,0.3306956045218964,0.007104275069125706,6527,5,5
base,place,0,en_us,0.6785560824076114,0.01026534576724085,0.5872274281654958,0.011815462852126988,0.2695526351283239,0.0026746492934694123,0.6788552512228371,0.01133268995873288,5220,3,5
base,place,0,de_de,0.6998259342179594,0.01842166202162143,0.6641936672195252,0.019056723422040844,0.24477309156589327,0.0017257705833894571,0.5802037676173076,0.0064610685407107135,7137,3,5
base,place,0,es_419,0.6838200261991532,0.02605684695413531,0.5974025075855476,0.03029321932456007,0.27444903242222335,0.001762070160798911,0.6997710708561967,0.0076736859779251085,6527,3,5
base,voicing,2,en_us,0.7962419654705416,0.025890910280494076,0.7922848631991436,0.027074615966621435,0.36354781224341265,0.006515647251393422,0.5713758230838103,0.01620485854317842,3225,2,5
base,voicing,2,de_de,0.790339756532223,0.0182202523940434,0.7838350888705301,0.019057820492563066,0.37774733869593935,0.0023806385764874303,0.6070878683327399,0.006176104262273798,4378,2,5
base,voicing,2,es_419,0.8101750547231195,0.04030749664699317,0.7894870594315611,0.045732245094974845,0.40201371457950535,0.010230085289065842,0.672765813488936,0.028450638772566022,3895,2,5
base,nasal,2,en_us,0.8803825180368928,0.006271820732876225,0.7469049442251275,0.018490301987484137,0.4708542834800743,0.0009987234386480298,0.889845334030811,0.0035679468958034,8766,2,5
base,nasal,2,de_de,0.8635227548523936,0.006114945359446119,0.7689192646263241,0.010579339354600998,0.46313614521786645,0.002013484514065083,0.8626957651200764,0.006967435867154922,11952,2,5
base,nasal,2,es_419,0.8549322542505923,0.022109908113817,0.7038698236422807,0.027684482393420043,0.47325181768409513,0.0009884608688558259,0.8984470179298196,0.003556965203912145,11564,2,5
base,manner,2,en_us,0.6976169075531068,0.005697191828612186,0.6459839662337836,0.00531064024387273,0.09677393008551889,0.0019868885261517346,0.3192048040209283,0.008701250522606644,5220,5,5
