model,feature,layer,train_lang,test_lang,accuracy,accuracy_std,macro_f1,macro_f1_std,majority,majority_std,majority_acc,majority_acc_std,n,n_classes,n_splits
base,voicing,0,en_us,de_de,0.7069438099588853,0.0070367167689513,0.6926224504632545,0.0073029623243786,0.3723297491039427,0.0028340494572456,0.5931932389218821,0.0071841084882841,4378,2,1
base,voicing,0,en_us,es_419,0.6241335044929397,0.0072029361215315,0.6066574951038092,0.0073376539470153,0.4032480465757622,0.0024389459408899,0.6757381258023106,0.006853177403797,3895,2,1
base,voicing,0,de_de,en_us,0.6936434108527132,0.0077096496154934,0.6853688362389376,0.0077852100472749,0.370240187463386,0.0034718443582908,0.587906976744186,0.0087564288366202,3225,2,1
base,voicing,0,de_de,es_419,0.6654685494223364,0.0078371140879163,0.6508113506736962,0.0078378686319646,0.4032480465757622,0.0024389459408899,0.6757381258023106,0.006853177403797,3895,2,1
base,voicing,0,es_419,en_us,0.6455813953488372,0.0087575355792202,0.5987278120132316,0.0086577497704128,0.370240187463386,0.0034718443582908,0.587906976744186,0.0087564288366202,3225,2,1
base,voicing,0,es_419,de_de,0.7220191868433075,0.0065787220996587,0.6862072566220223,0.0073639404382099,0.3723297491039427,0.0028340494572456,0.5931932389218821,0.0071841084882841,4378,2,1
base,nasal,0,en_us,de_de,0.8332496653279786,0.0032906153171035,0.7193052977172525,0.0048649897190068,0.462565762849049,0.0010006616793049,0.8606927710843374,0.0034636290408,11952,2,1
base,nasal,0,en_us,es_419,0.7768073331027326,0.0038531349482357,0.6235113691700771,0.0054115630867025,0.473981077147016,0.0007260363982629,0.9010722933241092,0.0026249259239447,11564,2,1
base,nasal,0,de_de,en_us,0.8566050650239562,0.0040445114063747,0.6851285455451304,0.0077953330098636,0.4711950292574048,0.0009290408051868,0.8910563540953684,0.003323131987555,8766,2,1
base,nasal,0,de_de,es_419,0.8593047388446904,0.0032854215446963,0.6885053485839759,0.0067617143236398,0.473981077147016,0.0007260363982629,0.9010722933241092,0.0026249259239447,11564,2,1
base,nasal,0,es_419,en_us,0.8408624229979466,0.0037166376519293,0.6853188071380099,0.0068018532240413,0.4711950292574048,0.0009290408051868,0.8910563540953684,0.003323131987555,8766,2,1
base,nasal,0,es_419,de_de,0.8465528781793842,0.0035583675125365,0.7302463228779018,0.005495827595873,0.462565762849049,0.0010006616793049,0.8606927710843374,0.0034636290408,11952,2,1
base,manner,0,en_us,de_de,0.4912428191116715,0.005799060102174,0.3958058880916941,0.0055496748456353,0.088850136239782,0.001307924798819,0.2855541544066134,0.0054049105230215,7137,5,1
base,manner,0,en_us,es_419,0.4522751647004749,0.0060264366360063,0.3676039007050938,0.0066174529808644,0.1008707607699358,0.0013520723123553,0.3372146468515397,0.0060498913418068,6527,5,1
base,manner,0,de_de,en_us,0.4915708812260536,0.0068249787539703,0.3954742791534202,0.0054451329092756,0.0865806064244971,0.0014837986156824,0.2762452107279693,0.0060371456145077,5220,5,1
base,manner,0,de_de,es_419,0.48873908380573,0.0065675282418392,0.3979394881912109,0.0052771026981686,0.0814154972544234,0.0013411511977125,0.2555538532250651,0.0052790439424224,6527,5,1
base,manner,0,es_419,en_us,0.4668582375478927,0.0073819176254355,0.4080793408654773,0.0083826277927694,0.0971279373368146,0.0015872469010787,0.3206896551724137,0.0069298461966577,5220,5,1
base,manner,0,es_419,de_de,0.5229087852038672,0.0061107077233528,0.4267346272011044,0.006834034468344,0.088850136239782,0.001307924798819,0.2855541544066134,0.0054049105230215,7137,5,1
base,place,0,en_us,de_de,0.5870814067535379,0.0054366131300882,0.5186533755745989,0.0057997544256281,0.2442964935641367,0.0016151959047026,0.5783942833123161,0.0060340573139633,7137,3,1
