model,feature,layer,language,accuracy,accuracy_std,macro_f1,macro_f1_std,majority,majority_std,majority_acc,majority_acc_std,n,n_classes,n_splits
xlsr300m,voicing,0,en_us,0.7831481363481189,0.01256214361855122,0.7790575883867246,0.011964435491787866,0.36354781224341265,0.006515647251393422,0.5713758230838103,0.01620485854317842,3225,2,5
xlsr300m,voicing,0,de_de,0.8027433398782187,0.013664994285537066,0.7941734011598515,0.013897788347227845,0.37774733869593935,0.0023806385764874303,0.6070878683327399,0.006176104262273798,4378,2,5
xlsr300m,voicing,0,es_419,0.7964801809914449,0.03895979109995793,0.773755323625054,0.04222576180056695,0.40201371457950535,0.010230085289065842,0.672765813488936,0.028450638772566022,3895,2,5
xlsr300m,nasal,0,en_us,0.8456104995829061,0.006410031860677625,0.7055712686185587,0.0048966198093230925,0.4708542834800743,0.0009987234386480298,0.889845334030811,0.0035679468958034,8766,2,5
xlsr300m,nasal,0,de_de,0.8510765030061718,0.007750767537063597,0.7517615035066292,0.008799204963935296,0.46313614521786645,0.002013484514065083,0.8626957651200764,0.006967435867154922,11952,2,5
xlsr300m,nasal,0,es_419,0.8309477582341802,0.026803609425154806,0.6711156058036938,0.02909123454622723,0.47325181768409513,0.0009884608688558259,0.8984470179298196,0.003556965203912145,11564,2,5
xlsr300m,manner,0,en_us,0.6157926781652081,0.011541909154069357,0.5363361958718558,0.01925869976601847,0.09677393008551889,0.0019868885261517346,0.3192048040209283,0.008701250522606644,5220,5,5
xlsr300m,manner,0,de_de,0.6670596959799641,0.006292594651486932,0.5869374911776705,0.009987107616004206,0.09645736123255617,0.0025802959505719265,0.3178662146015167,0.011079605492750612,7137,5,5
xlsr300m,manner,0,es_419,0.6254080985278743,0.03887087736873403,0.5376139727888016,0.02631648222942286,0.09939679678848527,0.001599227867592734,0.3306956045218964,0.007104275069125706,6527,5,5
xlsr300m,place,0,en_us,0.6725735597858391,0.012279197908805804,0.5857639066622252,0.016731563870510533,0.2695526351283239,0.0026746492934694123,0.6788552512228371,0.01133268995873288,5220,3,5
xlsr300m,place,0,de_de,0.6983274257095227,0.012957913672516553,0.6593593362009147,0.01544477159912235,0.24477309156589327,0.0017257705833894571,0.5802037676173076,0.0064610685407107135,7137,3,5
xlsr300m,place,0,es_419,0.6681187636591309,0.038238117909351395,0.5824114200219322,0.040067858037125016,0.27444903242222335,0.001762070160798911,0.6997710708561967,0.0076736859779251085,6527,3,5
xlsr300m,voicing,2,en_us,0.7630933820688787,0.012600342135550174,0.7568834140981252,0.012486471968518613,0.36354781224341265,0.006515647251393422,0.5713758230838103,0.01620485854317842,3225,2,5
xlsr300m,voicing,2,de_de,0.7669086657270061,0.00961545363869749,0.7576015893622732,0.010025821273282045,0.37774733869593935,0.0023806385764874303,0.6070878683327399,0.006176104262273798,4378,2,5
xlsr300m,voicing,2,es_419,0.8067245526022055,0.03514475266988657,0.7839859069646418,0.0392359370749241,0.40201371457950535,0.010230085289065842,0.672765813488936,0.028450638772566022,3895,2,5
xlsr300m,nasal,2,en_us,0.863185165082424,0.008831275697387675,0.7065356679317245,0.021000802226307184,0.4708542834800743,0.0009987234386480298,0.889845334030811,0.0035679468958034,8766,2,5
xlsr300m,nasal,2,de_de,0.8654191178891534,0.004973352400108784,0.7657434511299817,0.011443288305671968,0.46313614521786645,0.002013484514065083,0.8626957651200764,0.006967435867154922,11952,2,5
xlsr300m,nasal,2,es_419,0.8283443410462784,0.03415486997974147,0.668605356696693,0.027038930111582645,0.47325181768409513,0.0009884608688558259,0.8984470179298196,0.003556965203912145,11564,2,5
xlsr300m,manner,2,en_us,0.6343305657121077,0.007790927320683568,0.590335927984805,0.018584611495448652,0.09677393008551889,0.0019868885261517346,0.3192048040209283,0.008701250522606644,5220,5,5
xlsr300m,manner,2,de_de,0.6552360997362603,0.015365227555813477,0.575640165211868,0.014802814802280576,0.09645736123255617,0.0025802959505719265,0.3178662146015167,0.011079605492750612,7137,5,5
xlsr300m,manner,2,es_419,0.6416129812701603,0.03799809914711084,0.5760456461120853,0.03934664332552411,0.09939679678848527,0.001599227867592734,0.3306956045218964,0.007104275069125706,6527,5,5
xlsr300m,place,2,en_us,0.7241474047826919,0.007245682010662442,0.6384949610145567,0.01006877697452355,0.2695526351283239,0.0026746492934694123,0.6788552512228371,0.01133268995873288,5220,3,5
xlsr300m,place,2,de_de,0.690531825388357,0.013628047707837055,0.6490217170341173,0.01324311249850804,0.24477309156589327,0.0017257705833894571,0.5802037676173076,0.0064610685407107135,7137,3,5
xlsr300m,place,2,es_419,0.7034757089842856,0.03306761710787254,0.6128080229169709,0.036235599219002476,0.27444903242222335,0.001762070160798911,0.6997710708561967,0.0076736859779251085,6527,3,5
xlsr300m,voicing,4,en_us,0.81359250220567,0.011685154887370484,0.8098097749609134,0.010619241053945655,0.36354781224341265,0.006515647251393422,0.5713758230838103,0.01620485854317842,3225,2,5
xlsr300m,voicing,4,de_de,0.7796166130425741,0.008232228651775213,0.771428097873541,0.009728592126836053,0.37774733869593935,0.0023806385764874303,0.6070878683327399,0.006176104262273798,4378,2,5
xlsr300m,voicing,4,es_419,0.8266098676460354,0.02948595494628801,0.8034134636629784,0.03453199450956617,0.40201371457950535,0.010230085289065842,0.672765813488936,0.028450638772566022,3895,2,5
xlsr300m,nasal,4,en_us,0.8788690084476812,0.005917154309453491,0.7347412224276008,0.02053251254404438,0.4708542834800743,0.0009987234386480298,0.889845334030811,0.0035679468958034,8766,2,5
xlsr300m,nasal,4,de_de,0.8672858922969391,0.007274860394745027,0.7692720701210222,0.010962124761158803,0.46313614521786645,0.002013484514065083,0.8626957651200764,0.006967435867154922,11952,2,5
xlsr300m,nasal,4,es_419,0.8466628760416992,0.02628399286901989,0.6891923794897034,0.029428183482323466,0.47325181768409513,0.0009884608688558259,0.8984470179298196,0.003556965203912145,11564,2,5
xlsr300m,manner,4,en_us,0.6929788850839393,0.012355014110555899,0.6499708778597812,0.017543273760622875,0.09677393008551889,0.0019868885261517346,0.3192048040209283,0.008701250522606644,5220,5,5
xlsr300m,manner,4,de_de,0.6760568687217858,0.015874315740511923,0.5980482112079282,0.018900032964279237,0.09645736123255617,0.0025802959505719265,0.3178662146015167,0.011079605492750612,7137,5,5
xlsr300m,manner,4,es_419,0.6909918436886306,0.03058898950395223,0.6194848016039547,0.03468453776517347,0.09939679678848527,0.001599227867592734,0.3306956045218964,0.007104275069125706,6527,5,5
xlsr300m,place,4,en_us,0.8210132712856864,0.004777297466781618,0.7564944328215539,0.011399733973104741,0.2695526351283239,0.0026746492934694123,0.6788552512228371,0.01133268995873288,5220,3,5
xlsr300m,place,4,de_de,0.7534307947600769,0.009516225365382897,0.7155414442216629,0.013469384788154518,0.24477309156589327,0.0017257705833894571,0.5802037676173076,0.0064610685407107135,7137,3,5
