model,feature,layer,language,accuracy,accuracy_std,macro_f1,macro_f1_std,majority,majority_std,majority_acc,majority_acc_std,n,n_classes,n_splits
xlsr53,voicing,0,en_us,0.779511963564844,0.006540612304597932,0.7749720947823311,0.005351217899544566,0.36354781224341265,0.006515647251393422,0.5713758230838103,0.01620485854317842,3225,2,5
xlsr53,voicing,0,de_de,0.7962422284315112,0.013882704120013972,0.7886913809683466,0.014562501032750546,0.37774733869593935,0.0023806385764874303,0.6070878683327399,0.006176104262273798,4378,2,5
xlsr53,voicing,0,es_419,0.7996871364369603,0.03013255875748536,0.7765437843137725,0.033278471926449095,0.40201371457950535,0.010230085289065842,0.672765813488936,0.028450638772566022,3895,2,5
xlsr53,nasal,0,en_us,0.8462443128189937,0.007902024780481211,0.7046134115724048,0.011193549844888287,0.4708542834800743,0.0009987234386480298,0.889845334030811,0.0035679468958034,8766,2,5
xlsr53,nasal,0,de_de,0.8476437367073135,0.008011811002228815,0.74448587252323,0.00732684910578239,0.46313614521786645,0.002013484514065083,0.8626957651200764,0.006967435867154922,11952,2,5
xlsr53,nasal,0,es_419,0.8301700603313986,0.018788369785932985,0.6769203595647786,0.01986661675987359,0.47325181768409513,0.0009884608688558259,0.8984470179298196,0.003556965203912145,11564,2,5
xlsr53,manner,0,en_us,0.6126683185661929,0.00899530755004258,0.5445690598753712,0.01478159950347873,0.09677393008551889,0.0019868885261517346,0.3192048040209283,0.008701250522606644,5220,5,5
xlsr53,manner,0,de_de,0.660152825478568,0.01912305553914451,0.5817637144158485,0.011158983562652935,0.09645736123255617,0.0025802959505719265,0.3178662146015167,0.011079605492750612,7137,5,5
xlsr53,manner,0,es_419,0.6339486005833759,0.03936602461170025,0.5340676639195439,0.020398774900797934,0.09939679678848527,0.001599227867592734,0.3306956045218964,0.007104275069125706,6527,5,5
xlsr53,place,0,en_us,0.6734141189163104,0.0132100642248632,0.5777550230095544,0.022213653024682423,0.2695526351283239,0.0026746492934694123,0.6788552512228371,0.01133268995873288,5220,3,5
xlsr53,place,0,de_de,0.6896834327564803,0.013199349042413967,0.6496642345739253,0.013332905231183313,0.24477309156589327,0.0017257705833894571,0.5802037676173076,0.0064610685407107135,7137,3,5
xlsr53,place,0,es_419,0.6703140463347901,0.03151568510676375,0.5816293242516336,0.03197954059298953,0.27444903242222335,0.001762070160798911,0.6997710708561967,0.0076736859779251085,6527,3,5
xlsr53,voicing,2,en_us,0.7668825063929079,0.007657405512856037,0.7614159704522511,0.009196154506294591,0.36354781224341265,0.006515647251393422,0.5713758230838103,0.01620485854317842,3225,2,5
xlsr53,voicing,2,de_de,0.7756365419229831,0.023149751452634083,0.7675695136583861,0.0218375078992057,0.37774733869593935,0.0023806385764874303,0.6070878683327399,0.006176104262273798,4378,2,5
xlsr53,voicing,2,es_419,0.8158488305620514,0.03354026765007182,0.7896096445828084,0.044082640866874565,0.40201371457950535,0.010230085289065842,0.672765813488936,0.028450638772566022,3895,2,5
xlsr53,nasal,2,en_us,0.8650855953018681,0.008453306583688494,0.7169903500232302,0.014730235113386081,0.4708542834800743,0.0009987234386480298,0.889845334030811,0.0035679468958034,8766,2,5
xlsr53,nasal,2,de_de,0.8645278652546209,0.007575343238492209,0.7630383134732245,0.0053630675693415696,0.46313614521786645,0.002013484514065083,0.8626957651200764,0.006967435867154922,11952,2,5
xlsr53,nasal,2,es_419,0.8521725925765093,0.01898598973730291,0.6933623284863909,0.02295750142238971,0.47325181768409513,0.0009884608688558259,0.8984470179298196,0.003556965203912145,11564,2,5
xlsr53,manner,2,en_us,0.6407187433805673,0.010991252002998256,0.5825168960698277,0.021558962341695038,0.09677393008551889,0.0019868885261517346,0.3192048040209283,0.008701250522606644,5220,5,5
xlsr53,manner,2,de_de,0.6539364461857711,0.014335280475607132,0.579528925449376,0.010396884772457258,0.09645736123255617,0.0025802959505719265,0.3178662146015167,0.011079605492750612,7137,5,5
xlsr53,manner,2,es_419,0.6494542362003586,0.04010207048841487,0.5817145019495815,0.04418382729924809,0.09939679678848527,0.001599227867592734,0.3306956045218964,0.007104275069125706,6527,5,5
xlsr53,place,2,en_us,0.7392609273968683,0.011553324350422521,0.6540551917611351,0.013430268550555234,0.2695526351283239,0.0026746492934694123,0.6788552512228371,0.01133268995873288,5220,3,5
xlsr53,place,2,de_de,0.7066726781456979,0.015647624310606394,0.6658864743276575,0.01548690063103342,0.24477309156589327,0.0017257705833894571,0.5802037676173076,0.0064610685407107135,7137,3,5
xlsr53,place,2,es_419,0.7092687301992147,0.03812135225723223,0.6177425972522392,0.04032174044153066,0.27444903242222335,0.001762070160798911,0.6997710708561967,0.0076736859779251085,6527,3,5
