model,feature,layer,train_lang,test_lang,accuracy,accuracy_std,macro_f1,macro_f1_std,majority,majority_std,majority_acc,majority_acc_std,n,n_classes,n_splits
xlsr53,voicing,0,en_us,de_de,0.7163088168113294,0.006571045542545665,0.7015361774330384,0.006735096707242948,0.3723297491039427,0.0028340494572456814,0.5931932389218821,0.007184108488284124,4378,2,1
xlsr53,voicing,0,en_us,es_419,0.6590500641848523,0.008468905705472866,0.624787896091717,0.008895032116019856,0.40324804657576224,0.0024389459408899012,0.6757381258023106,0.006853177403797035,3895,2,1
xlsr53,voicing,0,de_de,en_us,0.6737984496124031,0.007981349421333559,0.6653978340557881,0.008075297766725534,0.37024018746338605,0.0034718443582908943,0.587906976744186,0.00875642883662027,3225,2,1
xlsr53,voicing,0,de_de,es_419,0.6718870346598202,0.007746281966899819,0.6546157804288312,0.0077232843375174606,0.40324804657576224,0.0024389459408899012,0.6757381258023106,0.006853177403797035,3895,2,1
xlsr53,voicing,0,es_419,en_us,0.6387596899224807,0.00829056832947945,0.603638032392572,0.008467358874636326,0.37024018746338605,0.0034718443582908943,0.587906976744186,0.00875642883662027,3225,2,1
xlsr53,voicing,0,es_419,de_de,0.7046596619460941,0.007199624028649695,0.6692208647086099,0.0075590490834443365,0.3723297491039427,0.0028340494572456814,0.5931932389218821,0.007184108488284124,4378,2,1
xlsr53,nasal,0,en_us,de_de,0.8325803212851406,0.0032740706758958324,0.7191851953517894,0.005164212425569038,0.462565762849049,0.0010006616793049108,0.8606927710843374,0.0034636290408000363,11952,2,1
xlsr53,nasal,0,en_us,es_419,0.8494465582843307,0.0032495376110018466,0.678960983510479,0.005795376108074938,0.47398107714701604,0.0007260363982629536,0.9010722933241093,0.0026249259239447633,11564,2,1
xlsr53,nasal,0,de_de,en_us,0.8437143509012092,0.003990799676960405,0.66435656813533,0.0071688743958455104,0.47119502925740486,0.0009290408051868059,0.8910563540953684,0.003323131987555008,8766,2,1
xlsr53,nasal,0,de_de,es_419,0.835956416464891,0.0036673444208919575,0.6627774693821733,0.00663088383827233,0.47398107714701604,0.0007260363982629536,0.9010722933241093,0.0026249259239447633,11564,2,1
xlsr53,nasal,0,es_419,en_us,0.8481633584302989,0.003840364900501941,0.6695189095195202,0.007245853385479124,0.47119502925740486,0.0009290408051868059,0.8910563540953684,0.003323131987555008,8766,2,1
xlsr53,nasal,0,es_419,de_de,0.8493975903614458,0.0034992547609875475,0.7314958592132506,0.005467210265993075,0.462565762849049,0.0010006616793049108,0.8606927710843374,0.0034636290408000363,11952,2,1
xlsr53,manner,0,en_us,de_de,0.5345383214235673,0.005667471285398893,0.4285106543974965,0.005812516879995633,0.08885013623978202,0.0013079247988190337,0.2855541544066134,0.005404910523021583,7137,5,1
