model,feature,train_lang,layer,rep,fold,within,cross,gap,within_norm,cross_norm,gap_norm
base,manner,en_us,8,0,0,0.730706069413064,0.4834492482687556,0.2472568211443084,0.7007056561303163,0.4293136888361714,0.2713919672941449
base,manner,en_us,8,0,1,0.7986013280108024,0.502101052162526,0.2965002758482764,0.7783002870066129,0.4499202393542221,0.3283800476523908
base,manner,en_us,8,0,2,0.7757401355843896,0.5188314199019857,0.2569087156824039,0.7517662275197579,0.4684039833380353,0.2833622441817225
base,manner,en_us,8,0,3,0.7999681312597202,0.4947091302538228,0.3052590010058973,0.7781969230667536,0.4417536291376064,0.3364432939291472
base,manner,en_us,8,0,4,0.7760938232609519,0.4923002893526299,0.2837935339083219,0.7514894718284841,0.4390923368570802,0.3123971349714038
base,manner,en_us,8,1,0,0.7772771243438901,0.4948875522213142,0.2823895721225758,0.7534540141851536,0.4419507500867425,0.311503264098411
base,manner,en_us,8,1,1,0.7981207878887886,0.4989585476183246,0.299162240270464,0.7776176791362859,0.44644839400285,0.3311692851334358
base,manner,en_us,8,1,2,0.7673552057698896,0.4863845920145754,0.2809706137553142,0.7407437139770585,0.4325566625201421,0.3081870514569164
base,manner,en_us,8,1,3,0.7758275565025181,0.4786920447377654,0.2971355117647527,0.7521702701012216,0.4240579207911974,0.3281123493100242
base,manner,en_us,8,1,4,0.7407040451029994,0.5058786589007107,0.2348253862022886,0.7124488278887411,0.4540937468889936,0.2583550809997474
base,manner,en_us,8,2,0,0.8005818227356689,0.498020489876295,0.3025613328593739,0.7795045948146827,0.44541202591963,0.3340925688950527
base,manner,en_us,8,2,1,0.7389105297732331,0.492630920393332,0.246279609379901,0.7131142647508281,0.4394576186969424,0.2736566460538857
base,manner,en_us,8,2,2,0.7856806038768369,0.503056952855607,0.2826236510212299,0.7619059579235051,0.4509763203657103,0.3109296375577948
base,manner,en_us,8,2,3,0.7398075557966145,0.5099939172986784,0.2298136384979361,0.7104241210175087,0.4586402926577316,0.2517838283597771
base,manner,en_us,8,2,4,0.8063074138697971,0.4911203354187126,0.3151870784510845,0.7848971796591239,0.4377887213737349,0.3471084582853889
base,manner,de_de,8,0,0,0.660054238048561,0.4151921288856507,0.2448621091629102,0.6242348191158275,0.3615648173142803,0.2626700018015471
base,manner,de_de,8,0,1,0.6328332035261537,0.4105465465561743,0.2222866569699793,0.5927941329129964,0.3564932316710343,0.2363009012419621
base,manner,de_de,8,0,2,0.6792201242030261,0.4262582693566931,0.252961854846333,0.644453860937736,0.3736457309993055,0.2708081299384305
base,manner,de_de,8,0,3,0.6126487931563195,0.4123451772616773,0.2003036158946421,0.5704162936026642,0.3584567981340913,0.2119594954685728
base,manner,de_de,8,0,4,0.6572924746566333,0.4255535635762619,0.2317389110803713,0.6206351794667022,0.3728764031809026,0.2477587762857996
base,manner,de_de,8,1,0,0.6626549494745346,0.4178301514961192,0.2448247979784154,0.6273999689589956,0.3644447485368787,0.2629552204221169
base,manner,de_de,8,1,1,0.6845719555828709,0.4127264027398881,0.2718455528429827,0.6497005134865048,0.3588729822688264,0.2908275312176783
base,manner,de_de,8,1,2,0.6700247110005816,0.4155839663569498,0.2544407446436317,0.6337558753562489,0.3619925865696689,0.27176328878658
base,manner,de_de,8,1,3,0.5728529784258515,0.4133001704516407,0.1595528079742108,0.5263197510093763,0.3594993649014232,0.1668203861079531
base,manner,de_de,8,1,4,0.6795539107690779,0.4410065739315815,0.2385473368374964,0.6458920066587941,0.3897464659426154,0.2561455407161786
base,manner,de_de,8,2,0,0.7212429088287907,0.4180595880180939,0.3031833208106967,0.6915512666739737,0.3646952245565373,0.3268560421174364
base,manner,de_de,8,2,1,0.620710309436735,0.4097418454546145,0.2109684639821205,0.5790301236605521,0.3556147388870661,0.2234153847734859
base,manner,de_de,8,2,2,0.6508113009946912,0.4199747322008392,0.2308365687938519,0.6115203497552631,0.3667859888683285,0.2447343608869346
base,manner,de_de,8,2,3,0.692603540759108,0.4276072311895617,0.2649963095695463,0.6599245725724876,0.3751183936236345,0.2848061789488531
base,manner,de_de,8,2,4,0.6677315788040714,0.4130650781863459,0.2546665006177254,0.633557751097427,0.3592427145026257,0.2743150365948013
base,manner,es_419,8,0,0,0.5750012889223775,0.4295876471608765,0.1454136417615009,0.52633883678585,0.3711075433759824,0.1552312934098675
base,manner,es_419,8,0,1,0.5340097376708564,0.4212573356316906,0.1127524020391657,0.4830982051541762,0.3619231874342544,0.1211750177199217
base,manner,es_419,8,0,2,0.6410315199828676,0.4317103682930554,0.2093211516898121,0.6016950867289257,0.3734478911978681,0.2282471955310576
base,manner,es_419,8,0,3,0.7066877082521879,0.4218519216400486,0.2848357866121392,0.6734426681178232,0.3625787318901368,0.3108639362276864
base,manner,es_419,8,0,4,0.6246619562605096,0.4172356329574314,0.2074263233030782,0.5696091919703711,0.357489169724018,0.212120022246353
base,manner,es_419,8,1,0,0.7142228600345918,0.4419974561853815,0.2722254038492102,0.6830104275134877,0.3847896371188874,0.2982207903946003
base,manner,es_419,8,1,1,0.6620132666354152,0.4328103236174921,0.229202943017923,0.6235191580794988,0.3746606166984969,0.2488585413810018
base,manner,es_419,8,1,2,0.7013698408554122,0.4236886600962846,0.2776811807591275,0.6671904831568205,0.3646037773755101,0.3025867057813103
base,manner,es_419,8,1,3,0.611965458046001,0.4268712643658769,0.185094193680124,0.5691663904107391,0.3681126702099725,0.2010537202007666
base,manner,es_419,8,1,4,0.5396815518775029,0.4268105370919768,0.112871014785526,0.4877049499216355,0.3680457170237782,0.1196592328978572
base,manner,es_419,8,2,0,0.7018344856134506,0.4238530511679073,0.2779814344455433,0.669049939258578,0.3647850222317361,0.3042649170268419
base,manner,es_419,8,2,1,0.4911765582123822,0.418877165250914,0.0722993929614682,0.431629916494134,0.3592989960216738,0.0723309204724602
base,manner,es_419,8,2,2,0.5651000216137545,0.4372353884283189,0.1278646331854356,0.5150433992079402,0.3795393502423095,0.1355040489656306
base,manner,es_419,8,2,3,0.6998409247374244,0.4213010838684748,0.2785398408689496,0.666781093748128,0.3619714208499004,0.3048096728982275
base,manner,es_419,8,2,4,0.6839210619251711,0.4221292439561753,0.2617918179689957,0.649579074249053,0.3628844859850429,0.2866945882640101
base,nasal,en_us,10,0,0,0.768156618536507,0.7182072357730124,0.0499493827634945,0.5617487656825018,0.4700419824302465,0.0917067832522552
base,nasal,en_us,10,0,1,0.8040102714059294,0.7532801106850071,0.0507301607209222,0.6284626064306864,0.5360023391832698,0.0924602672474166
base,nasal,en_us,10,0,2,0.7881927349787016,0.7398345685363592,0.0483581664423423,0.6003596121326285,0.5107157677491351,0.0896438443834933
base,nasal,en_us,10,0,3,0.8039623704859756,0.7475995425393982,0.0563628279465774,0.629788586870132,0.5253190888827339,0.104469497987398
