    model,experiment,feature,layer,language,score
    xl500,transfer,voicing,,de_de,0.767
    xl500,transfer,voicing,,es_419,0.833
    xl500,transfer,manner,,de_de,0.700
    xl500,transfer,manner,,es_419,0.567
    xl500,layer_analysis,voicing,0,,0.500
    xl500,layer_analysis,manner,0,,0.833
    xl500,layer_analysis,voicing,3,,0.500
    xl500,layer_analysis,manner,3,,1.000
    xl500,layer_analysis,voicing,6,,0.500
    xl500,layer_analysis,manner,6,,1.000
    xl500,layer_analysis,voicing,9,,0.500
    xl500,layer_analysis,manner,9,,0.833
    xl500,layer_analysis,voicing,12,,0.500
    xl500,layer_analysis,manner,12,,0.833
    xl500,language_specific,voicing,,en_us,0.500
    xl500,language_specific,manner,,en_us,1.000
    xl500,language_specific,voicing,,de_de,1.000
    xl500,language_specific,manner,,de_de,0.667
    xl500,language_specific,manner,,es_419,0.500
    xl53,transfer,voicing,,de_de,0.840
    xl53,transfer,voicing,,es_419,0.760
    xl53,transfer,manner,,de_de,0.620
    xl53,transfer,manner,,es_419,0.540
    xl53,layer_analysis,voicing,0,,0.600
    xl53,layer_analysis,manner,0,,0.600
    xl53,layer_analysis,voicing,3,,0.500
    xl53,layer_analysis,manner,3,,0.800
    xl53,layer_analysis,voicing,6,,0.500
    xl53,layer_analysis,manner,6,,0.700
    xl53,layer_analysis,voicing,9,,0.500
    xl53,layer_analysis,manner,9,,0.700
    xl53,layer_analysis,voicing,12,,0.500
    xl53,layer_analysis,manner,12,,0.800
    xl53,language_specific,voicing,,en_us,0.500
    xl53,language_specific,manner,,en_us,0.700
    xl53,language_specific,voicing,,de_de,1.000
    xl53,language_specific,manner,,de_de,0.900
    xl53,language_specific,manner,,es_419,0.200
    base,transfer,voicing,,de_de,0.770
    base,transfer,voicing,,es_419,0.640
    base,transfer,manner,,de_de,0.630
    base,transfer,manner,,es_419,0.430
    base,layer_analysis,voicing,0,,0.400
    base,layer_analysis,manner,0,,0.650
    base,layer_analysis,voicing,3,,0.500
    base,layer_analysis,manner,3,,0.700
    base,layer_analysis,voicing,6,,0.500
    base,layer_analysis,manner,6,,0.800
    base,layer_analysis,voicing,9,,0.500
    base,layer_analysis,manner,9,,0.800
    base,layer_analysis,voicing,12,,0.400
    base,layer_analysis,manner,12,,0.800
    base,language_specific,voicing,,en_us,0.500
    base,language_specific,manner,,en_us,0.800
    base,language_specific,voicing,,de_de,1.000
    base,language_specific,manner,,de_de,0.500
    base,language_specific,manner,,es_419,0.300
