model,feature,layer,accuracy,macro_f1,majority,n,n_classes
base,voicing,0,0.5357881671493587,0.523703190072333,0.6218452627223832,2417,2
base,voicing,3,0.5362019031857674,0.5214759931495538,0.6218452627223832,2417,2
base,voicing,6,0.5490277203144394,0.5321554451549295,0.6218452627223832,2417,2
base,voicing,9,0.5531650806785271,0.5371938454206594,0.6218452627223832,2417,2
base,voicing,12,0.5146876292925113,0.5004530938211675,0.6218452627223832,2417,2
base,nasal,0,0.5898576512455516,0.4635914334300143,0.8818208778173191,6744,2
base,nasal,3,0.591785290628707,0.4623478967585335,0.8818208778173191,6744,2
base,nasal,6,0.5969750889679716,0.4721043629239018,0.8818208778173191,6744,2
base,nasal,9,0.5946026097271648,0.4653405123517936,0.8818208778173191,6744,2
base,nasal,12,0.5618327402135231,0.44626041725278365,0.8818208778173191,6744,2
base,manner,0,0.2533468047486739,0.21082070664877142,0.3127052285930791,3959,5
base,manner,3,0.24778984592068704,0.209596609983506,0.3127052285930791,3959,5
base,manner,6,0.25688305127557465,0.21820986509765533,0.3127052285930791,3959,5
base,manner,9,0.2649659004799192,0.21743123632529518,0.3127052285930791,3959,5
base,manner,12,0.24905279110886588,0.20572524909980766,0.3127052285930791,3959,5
base,place,0,0.37256883051275574,0.3315956490816719,0.652690073250821,3959,3
base,place,3,0.3753473099267492,0.3341999494336161,0.652690073250821,3959,3
base,place,6,0.38317757009345793,0.3382648628167242,0.652690073250821,3959,3
base,place,9,0.3889871179590806,0.3383193817355176,0.652690073250821,3959,3
base,place,12,0.3745895428138419,0.33169863424921336,0.652690073250821,3959,3
xlsr53,voicing,0,0.5498551923872569,0.534353459144443,0.6218452627223832,2417,2
xlsr53,voicing,6,0.5444766239139429,0.5316492455238038,0.6218452627223832,2417,2
xlsr53,voicing,12,0.5622672734795201,0.5460380185477114,0.6218452627223832,2417,2
xlsr53,voicing,18,0.551510136532892,0.5356272863908346,0.6218452627223832,2417,2
xlsr53,voicing,24,0.5299958626396359,0.515576570218772,0.6218452627223832,2417,2
xlsr53,nasal,0,0.5852609727164887,0.4591028995752561,0.8818208778173191,6744,2
xlsr53,nasal,6,0.5972716488730724,0.46886058213148185,0.8818208778173191,6744,2
xlsr53,nasal,12,0.593564650059312,0.4655099395155723,0.8818208778173191,6744,2
xlsr53,nasal,18,0.5977164887307236,0.4703627154696963,0.8818208778173191,6744,2
xlsr53,nasal,24,0.5880782918149466,0.46780732378682555,0.8818208778173191,6744,2
xlsr53,manner,0,0.25915635261429654,0.21766422502622979,0.3127052285930791,3959,5
xlsr53,manner,6,0.2730487496842637,0.23074657556670558,0.3127052285930791,3959,5
xlsr53,manner,12,0.26698661278100533,0.2238562481462283,0.3127052285930791,3959,5
xlsr53,manner,18,0.25612528416266733,0.2100408284594953,0.3127052285930791,3959,5
xlsr53,manner,24,0.23187673654963376,0.20044554520241425,0.3127052285930791,3959,5
xlsr53,place,0,0.3801465016418287,0.3386190715375199,0.652690073250821,3959,3
xlsr53,place,6,0.38393533720636525,0.33710800541140684,0.652690073250821,3959,3
xlsr53,place,12,0.3864612275827229,0.34003898749048894,0.652690073250821,3959,3
xlsr53,place,18,0.38772417277090176,0.33917088540133283,0.652690073250821,3959,3
xlsr53,place,24,0.36499115938368276,0.3243961482139499,0.652690073250821,3959,3
xlsr300m,voicing,0,0.5328920148944973,0.5187732354135699,0.6218452627223832,2417,2
xlsr300m,voicing,6,0.5502689284236657,0.5376046592955266,0.6218452627223832,2417,2
xlsr300m,voicing,12,0.5544062887877534,0.5392764128427296,0.6218452627223832,2417,2
xlsr300m,voicing,18,0.5428216797683079,0.5302109577132958,0.6218452627223832,2417,2
xlsr300m,voicing,24,0.5390980554406288,0.5257832875179821,0.6218452627223832,2417,2
xlsr300m,nasal,0,0.6020166073546857,0.4728809202006844,0.8818208778173191,6744,2
xlsr300m,nasal,6,0.6052787663107948,0.47012523354003904,0.8818208778173191,6744,2
xlsr300m,nasal,12,0.5858540925266904,0.4592698641545575,0.8818208778173191,6744,2
xlsr300m,nasal,18,0.6027580071174378,0.4743734458390708,0.8818208778173191,6744,2
xlsr300m,nasal,24,0.5854092526690391,0.46040311323330196,0.8818208778173191,6744,2
xlsr300m,manner,0,0.2518312705228593,0.21440418288705346,0.3127052285930791,3959,5
xlsr300m,manner,6,0.2518312705228593,0.20691967729714658,0.3127052285930791,3959,5
xlsr300m,manner,12,0.2639555443293761,0.2211142925796533,0.3127052285930791,3959,5
xlsr300m,manner,18,0.2624400101035615,0.21409610617276056,0.3127052285930791,3959,5
xlsr300m,manner,24,0.25511492801212426,0.2127711211076861,0.3127052285930791,3959,5
xlsr300m,place,0,0.3687799949482192,0.3273446393051024,0.652690073250821,3959,3
xlsr300m,place,6,0.3750947208891134,0.33234439467416205,0.652690073250821,3959,3
xlsr300m,place,12,0.38570346046981563,0.33334323553594875,0.652690073250821,3959,3
xlsr300m,place,18,0.38999747410962365,0.34495702157064284,0.652690073250821,3959,3
xlsr300m,place,24,0.37105329628694117,0.3281076710004341,0.652690073250821,3959,3
