model,feature,layer,language,accuracy,macro_f1,majority,majority_acc,n,n_classes
base,voicing,0,en_us,0.7705426356589147,0.7635396230901849,0.3701171875,0.5875968992248062,645,2
base,voicing,3,en_us,0.8248062015503876,0.8199432296826248,0.3701171875,0.5875968992248062,645,2
base,voicing,6,en_us,0.875968992248062,0.8715983516811658,0.3701171875,0.5875968992248062,645,2
base,voicing,9,en_us,0.924031007751938,0.9214917194319483,0.3701171875,0.5875968992248062,645,2
base,voicing,12,en_us,0.8775193798449612,0.8731279178338003,0.3701171875,0.5875968992248062,645,2
base,voicing,0,de_de,0.7853881278538812,0.7802460569507086,0.37249283667621774,0.593607305936073,876,2
base,voicing,3,de_de,0.8070776255707762,0.8016429267194658,0.37249283667621774,0.593607305936073,876,2
base,voicing,6,de_de,0.8139269406392694,0.808383265675848,0.37249283667621774,0.593607305936073,876,2
base,voicing,9,de_de,0.8230593607305936,0.8173406641008083,0.37249283667621774,0.593607305936073,876,2
base,voicing,12,de_de,0.8253424657534246,0.8209634694839882,0.37249283667621774,0.593607305936073,876,2
base,voicing,0,es_419,0.8382541720154044,0.8198480287790911,0.40306513409961686,0.675224646983312,779,2
base,voicing,3,es_419,0.8433889602053916,0.8261974777621723,0.40306513409961686,0.675224646983312,779,2
base,voicing,6,es_419,0.8523748395378691,0.8363161308593928,0.40306513409961686,0.675224646983312,779,2
base,voicing,9,es_419,0.858793324775353,0.8446564276598214,0.40306513409961686,0.675224646983312,779,2
base,voicing,12,es_419,0.8549422336328626,0.8416111126105459,0.40306513409961686,0.675224646983312,779,2
base,nasal,0,en_us,0.8523375142531356,0.6868917099906195,0.47120892372625867,0.8911060433295325,1754,2
base,nasal,3,en_us,0.8819840364880274,0.7386263916234437,0.47120892372625867,0.8911060433295325,1754,2
base,nasal,6,en_us,0.8979475484606614,0.7632566146403185,0.47120892372625867,0.8911060433295325,1754,2
base,nasal,9,en_us,0.9184720638540479,0.8021114153867759,0.47120892372625867,0.8911060433295325,1754,2
base,nasal,12,en_us,0.9064994298745724,0.7835271877859654,0.47120892372625867,0.8911060433295325,1754,2
base,nasal,0,de_de,0.8423253868674195,0.7448171878755417,0.46257585974376264,0.8607277289836889,2391,2
base,nasal,3,de_de,0.8724383103304056,0.7820048599803724,0.46257585974376264,0.8607277289836889,2391,2
base,nasal,6,de_de,0.876202425763279,0.7890196845323552,0.46257585974376264,0.8607277289836889,2391,2
base,nasal,9,de_de,0.87745713090757,0.7841563768891551,0.46257585974376264,0.8607277289836889,2391,2
base,nasal,12,de_de,0.8736930154746968,0.7764418790124435,0.46257585974376264,0.8607277289836889,2391,2
base,nasal,0,es_419,0.8426286208387376,0.6907308744574496,0.47395951785308166,0.9009943795936014,2313,2
base,nasal,3,es_419,0.8638132295719845,0.7140177407560486,0.47395951785308166,0.9009943795936014,2313,2
base,nasal,6,es_419,0.8491137051448335,0.7016965048873043,0.47395951785308166,0.9009943795936014,2313,2
base,nasal,9,es_419,0.8396022481625595,0.6986128696336282,0.47395951785308166,0.9009943795936014,2313,2
base,nasal,12,es_419,0.8504107220060527,0.7121602957890345,0.47395951785308166,0.9009943795936014,2313,2
base,manner,0,en_us,0.6187739463601533,0.5553651468227913,0.09717186366932559,0.32088122605363983,1044,5
base,manner,3,en_us,0.7193486590038314,0.6859536038351803,0.09717186366932559,0.32088122605363983,1044,5
base,manner,6,en_us,0.7787356321839081,0.7434115592325655,0.09717186366932559,0.32088122605363983,1044,5
base,manner,9,en_us,0.8227969348659003,0.8019521848821956,0.09717186366932559,0.32088122605363983,1044,5
base,manner,12,en_us,0.7528735632183908,0.7082725257850175,0.09717186366932559,0.32088122605363983,1044,5
base,manner,0,de_de,0.6596638655462185,0.5556152444867759,0.0972972972972973,0.32142857142857145,1428,5
base,manner,3,de_de,0.7044817927170869,0.611032969341766,0.0972972972972973,0.32142857142857145,1428,5
base,manner,6,de_de,0.7016806722689075,0.6241116908461026,0.0972972972972973,0.32142857142857145,1428,5
base,manner,9,de_de,0.7212885154061625,0.6325947835805948,0.0972972972972973,0.32142857142857145,1428,5
base,manner,12,de_de,0.7030812324929971,0.6167648807397693,0.0972972972972973,0.32142857142857145,1428,5
base,manner,0,es_419,0.6462480857580398,0.5677050824799845,0.10080183276059565,0.33690658499234305,1306,5
base,manner,3,es_419,0.7120980091883614,0.6885530169829439,0.10080183276059565,0.33690658499234305,1306,5
base,manner,6,es_419,0.7396630934150077,0.6426629276099567,0.10080183276059565,0.33690658499234305,1306,5
base,manner,9,es_419,0.7266462480857581,0.6132574479210793,0.10080183276059565,0.33690658499234305,1306,5
base,manner,12,es_419,0.7427258805513017,0.6224800609254014,0.10080183276059565,0.33690658499234305,1306,5
base,place,0,en_us,0.7001915708812261,0.6058443906259027,0.2707622298065984,0.6839080459770115,1044,3
base,place,3,en_us,0.8275862068965517,0.7617375819393556,0.2707622298065984,0.6839080459770115,1044,3
base,place,6,en_us,0.8793103448275862,0.832987012987013,0.2707622298065984,0.6839080459770115,1044,3
base,place,9,en_us,0.9099616858237548,0.8797282649639125,0.2707622298065984,0.6839080459770115,1044,3
base,place,12,en_us,0.8409961685823755,0.773650901880567,0.2707622298065984,0.6839080459770115,1044,3
base,place,0,de_de,0.7058823529411765,0.6654867818708078,0.24430641821946172,0.5784313725490197,1428,3
base,place,3,de_de,0.7927170868347339,0.7608385838039343,0.24430641821946172,0.5784313725490197,1428,3
base,place,6,de_de,0.780812324929972,0.7470096470176079,0.24430641821946172,0.5784313725490197,1428,3
base,place,9,de_de,0.7976190476190477,0.768549477684828,0.24430641821946172,0.5784313725490197,1428,3
base,place,12,de_de,0.7941176470588235,0.7641270161179664,0.24430641821946172,0.5784313725490197,1428,3
base,place,0,es_419,0.7067381316998469,0.6058191738989743,0.2744744744744745,0.6998468606431854,1306,3
base,place,3,es_419,0.7917304747320061,0.7072148679291536,0.2744744744744745,0.6998468606431854,1306,3
base,place,6,es_419,0.7947932618683001,0.7127391943568414,0.2744744744744745,0.6998468606431854,1306,3
base,place,9,es_419,0.7986217457886677,0.7250763774430237,0.2744744744744745,0.6998468606431854,1306,3
base,place,12,es_419,0.7710566615620215,0.6798894009812612,0.2744744744744745,0.6998468606431854,1306,3
xlsr53,voicing,0,en_us,0.7751937984496124,0.768953701805138,0.3701171875,0.5875968992248062,645,2
xlsr53,voicing,6,en_us,0.8372093023255814,0.8300932511458827,0.3701171875,0.5875968992248062,645,2
xlsr53,voicing,12,en_us,0.8790697674418605,0.8743506493506493,0.3701171875,0.5875968992248062,645,2
xlsr53,voicing,18,en_us,0.9193798449612403,0.9166368408494392,0.3701171875,0.5875968992248062,645,2
xlsr53,voicing,24,en_us,0.8821705426356589,0.8783018867924528,0.3701171875,0.5875968992248062,645,2
xlsr53,voicing,0,de_de,0.791095890410959,0.7839791401370444,0.37249283667621774,0.593607305936073,876,2
xlsr53,voicing,6,de_de,0.7888127853881278,0.7826935222395199,0.37249283667621774,0.593607305936073,876,2
xlsr53,voicing,12,de_de,0.8264840182648402,0.8209504343382729,0.37249283667621774,0.593607305936073,876,2
xlsr53,voicing,18,de_de,0.8618721461187214,0.8564002519864252,0.37249283667621774,0.593607305936073,876,2
xlsr53,voicing,24,de_de,0.8789954337899544,0.8752391598770342,0.37249283667621774,0.593607305936073,876,2
xlsr53,voicing,0,es_419,0.82798459563543,0.8104388819478746,0.40306513409961686,0.675224646983312,779,2
xlsr53,voicing,6,es_419,0.8639281129653402,0.8484435797665371,0.40306513409961686,0.675224646983312,779,2
xlsr53,voicing,12,es_419,0.8562259306803595,0.838357788646806,0.40306513409961686,0.675224646983312,779,2
xlsr53,voicing,18,es_419,0.8754813863928113,0.8626619192761865,0.40306513409961686,0.675224646983312,779,2
xlsr53,voicing,24,es_419,0.8639281129653402,0.8503052848358279,0.40306513409961686,0.675224646983312,779,2
