model,feature,layer,train_lang,test_lang,accuracy,accuracy_std,macro_f1,macro_f1_std,majority,majority_std,majority_acc,majority_acc_std,n,n_classes,n_splits
base,voicing,0,en_us,de_de,0.7069438099588853,0.00703671676895134,0.6926224504632545,0.007302962324378699,0.3723297491039427,0.0028340494572456814,0.5931932389218821,0.007184108488284124,4378,2,1
base,voicing,0,en_us,es_419,0.6241335044929397,0.007202936121531568,0.6066574951038092,0.007337653947015311,0.40324804657576224,0.0024389459408899012,0.6757381258023106,0.006853177403797035,3895,2,1
base,voicing,0,de_de,en_us,0.6936434108527132,0.007709649615493448,0.6853688362389376,0.007785210047274987,0.37024018746338605,0.0034718443582908943,0.587906976744186,0.00875642883662027,3225,2,1
base,voicing,0,de_de,es_419,0.6654685494223364,0.007837114087916333,0.6508113506736962,0.007837868631964614,0.40324804657576224,0.0024389459408899012,0.6757381258023106,0.006853177403797035,3895,2,1
base,voicing,0,es_419,en_us,0.6455813953488372,0.008757535579220266,0.5987278120132316,0.008657749770412828,0.37024018746338605,0.0034718443582908943,0.587906976744186,0.00875642883662027,3225,2,1
base,voicing,0,es_419,de_de,0.7220191868433075,0.006578722099658709,0.6862072566220223,0.007363940438209974,0.3723297491039427,0.0028340494572456814,0.5931932389218821,0.007184108488284124,4378,2,1
base,nasal,0,en_us,de_de,0.8332496653279786,0.003290615317103598,0.7193052977172525,0.004864989719006817,0.462565762849049,0.0010006616793049108,0.8606927710843374,0.0034636290408000363,11952,2,1
base,nasal,0,en_us,es_419,0.7768073331027326,0.0038531349482357814,0.6235113691700771,0.005411563086702546,0.47398107714701604,0.0007260363982629536,0.9010722933241093,0.0026249259239447633,11564,2,1
base,nasal,0,de_de,en_us,0.8566050650239562,0.004044511406374755,0.6851285455451304,0.007795333009863649,0.47119502925740486,0.0009290408051868059,0.8910563540953684,0.003323131987555008,8766,2,1
base,nasal,0,de_de,es_419,0.8593047388446904,0.003285421544696312,0.6885053485839759,0.006761714323639849,0.47398107714701604,0.0007260363982629536,0.9010722933241093,0.0026249259239447633,11564,2,1
base,nasal,0,es_419,en_us,0.8408624229979466,0.003716637651929351,0.6853188071380099,0.006801853224041355,0.47119502925740486,0.0009290408051868059,0.8910563540953684,0.003323131987555008,8766,2,1
base,nasal,0,es_419,de_de,0.8465528781793842,0.003558367512536565,0.7302463228779018,0.005495827595873013,0.462565762849049,0.0010006616793049108,0.8606927710843374,0.0034636290408000363,11952,2,1
base,manner,0,en_us,de_de,0.49124281911167156,0.005799060102174057,0.39580588809169415,0.005549674845635366,0.08885013623978202,0.0013079247988190337,0.2855541544066134,0.005404910523021583,7137,5,1
base,manner,0,en_us,es_419,0.45227516470047496,0.006026436636006397,0.36760390070509386,0.006617452980864433,0.10087076076993584,0.0013520723123553098,0.33721464685153973,0.006049891341806822,6527,5,1
base,manner,0,de_de,en_us,0.49157088122605364,0.006824978753970325,0.39547427915342026,0.005445132909275614,0.08658060642449715,0.001483798615682467,0.27624521072796937,0.006037145614507709,5220,5,1
base,manner,0,de_de,es_419,0.48873908380573006,0.006567528241839225,0.3979394881912109,0.005277102698168647,0.08141549725442343,0.0013411511977125601,0.25555385322506513,0.005279043942422431,6527,5,1
base,manner,0,es_419,en_us,0.46685823754789274,0.007381917625435586,0.40807934086547737,0.008382627792769411,0.09712793733681462,0.001587246901078722,0.32068965517241377,0.0069298461966577525,5220,5,1
base,manner,0,es_419,de_de,0.5229087852038672,0.006110707723352842,0.42673462720110444,0.006834034468344063,0.08885013623978202,0.0013079247988190337,0.2855541544066134,0.005404910523021583,7137,5,1
base,place,0,en_us,de_de,0.5870814067535379,0.00543661313008826,0.5186533755745989,0.005799754425628113,0.2442964935641367,0.001615195904702609,0.5783942833123161,0.006034057313963319,7137,3,1
base,place,0,en_us,es_419,0.5671824728052705,0.006546442610160529,0.5049863464177178,0.007006619851957854,0.27444264166816895,0.0012693774536372286,0.6997089014861345,0.005501835081916693,6527,3,1
base,place,0,de_de,en_us,0.5333333333333333,0.006299994113529595,0.47137989947197273,0.006373350835953552,0.2707622298065984,0.001342318957935745,0.6839080459770115,0.005707973594186437,5220,3,1
base,place,0,de_de,es_419,0.46070170062815996,0.005476724200595018,0.42180428938554404,0.005592173191404846,0.27444264166816895,0.0012693774536372286,0.6997089014861345,0.005501835081916693,6527,3,1
base,place,0,es_419,en_us,0.6377394636015326,0.006701509500960383,0.528458832258993,0.007857787913480104,0.2707622298065984,0.001342318957935745,0.6839080459770115,0.005707973594186437,5220,3,1
base,place,0,es_419,de_de,0.5978702536079585,0.005844470881926568,0.5141342828633009,0.006711136279148088,0.2442964935641367,0.001615195904702609,0.5783942833123161,0.006034057313963319,7137,3,1
base,voicing,2,en_us,de_de,0.7051164915486523,0.006904847213184048,0.6967544614318163,0.006862420046217354,0.3723297491039427,0.0028340494572456814,0.5931932389218821,0.007184108488284124,4378,2,1
base,voicing,2,en_us,es_419,0.6346598202824133,0.007559647226229998,0.6209790114149045,0.007784552723422267,0.40324804657576224,0.0024389459408899012,0.6757381258023106,0.006853177403797035,3895,2,1
base,voicing,2,de_de,en_us,0.6812403100775194,0.008123922124839901,0.6747665201695181,0.008112357246700211,0.37024018746338605,0.0034718443582908943,0.587906976744186,0.00875642883662027,3225,2,1
base,voicing,2,de_de,es_419,0.6005134788189987,0.007551504755360086,0.5994889314294747,0.007559590767904179,0.40324804657576224,0.0024389459408899012,0.6757381258023106,0.006853177403797035,3895,2,1
base,voicing,2,es_419,en_us,0.652093023255814,0.00866892899429096,0.6080562266466091,0.008838727061896066,0.37024018746338605,0.0034718443582908943,0.587906976744186,0.00875642883662027,3225,2,1
base,voicing,2,es_419,de_de,0.6984924623115578,0.0070379029795318215,0.6580263932784056,0.007464249189926189,0.3723297491039427,0.0028340494572456814,0.5931932389218821,0.007184108488284124,4378,2,1
base,nasal,2,en_us,de_de,0.8579317269076305,0.003276216879078287,0.7533806825017335,0.004934535536665039,0.462565762849049,0.0010006616793049108,0.8606927710843374,0.0034636290408000363,11952,2,1
base,nasal,2,en_us,es_419,0.8938948460740228,0.0027457360163901583,0.7311670213806203,0.0061731061137997485,0.47398107714701604,0.0007260363982629536,0.9010722933241093,0.0026249259239447633,11564,2,1
base,nasal,2,de_de,en_us,0.8599133013917408,0.003814476588534354,0.7239526088703427,0.006797260455279826,0.47119502925740486,0.0009290408051868059,0.8910563540953684,0.003323131987555008,8766,2,1
base,nasal,2,de_de,es_419,0.7589934278796264,0.004051282763297903,0.6232683837137516,0.005298873662439957,0.47398107714701604,0.0007260363982629536,0.9010722933241093,0.0026249259239447633,11564,2,1
base,nasal,2,es_419,en_us,0.8470225872689938,0.003847772890050562,0.6990254818151465,0.006378401717034602,0.47119502925740486,0.0009290408051868059,0.8910563540953684,0.003323131987555008,8766,2,1
base,nasal,2,es_419,de_de,0.8422858099062919,0.003441137791182351,0.7342297535174404,0.004828375398943639,0.462565762849049,0.0010006616793049108,0.8606927710843374,0.0034636290408000363,11952,2,1
base,manner,2,en_us,de_de,0.5324365980103685,0.005607965219463175,0.42067437233093685,0.006030427386560179,0.08885013623978202,0.0013079247988190337,0.2855541544066134,0.005404910523021583,7137,5,1
base,manner,2,en_us,es_419,0.4493641795618201,0.00666172629927928,0.37487474655761277,0.009131843948820637,0.10087076076993584,0.0013520723123553098,0.33721464685153973,0.006049891341806822,6527,5,1
