model,feature,best_layer,within_lang,within_std,cross_lang,cross_std,majority,transfer_gap
base,manner,8,0.6678295678182634,0.08685776390113437,0.4523703393784851,0.03877226959233488,0.09061584571087249,0.21545922843977833
base,nasal,10,0.7547738125074231,0.05242735260876195,0.7196776315231789,0.0514334007267219,0.4692472897511566,0.035096180984244274
base,place,6,0.7647924439545966,0.06518728438869223,0.6283426986570018,0.04897794088384802,0.2631671216796347,0.1364497452975948
base,voicing,10,0.8483278869333944,0.053019224552836614,0.6666364893368194,0.03681034006560743,0.3819393277143636,0.18169139759657504
xlsr300m,manner,16,0.7468082534806763,0.0735508542012092,0.5329394822443841,0.044614060665512996,0.09061584571087249,0.2138687712362921
xlsr300m,nasal,16,0.7999018325244142,0.02994744105967698,0.7276239963164569,0.05043454946990944,0.4692472897511566,0.07227783620795725
xlsr300m,place,18,0.8139039818635512,0.0694645035929025,0.6580737732121064,0.05359694846345905,0.2631671216796347,0.1558302086514448
xlsr300m,voicing,18,0.8796912895975261,0.03736111767500242,0.7529947074297899,0.03919400004769603,0.3819393277143636,0.12669658216773616
xlsr53,manner,16,0.7472866579530834,0.0684537058715807,0.512679370049787,0.03730381384322627,0.09061584571087249,0.23460728790329632
xlsr53,nasal,16,0.794503159335302,0.03958656399917768,0.7599719988973793,0.016204578685287394,0.4692472897511566,0.0345311604379227
xlsr53,place,16,0.8205013551758631,0.0747051809675903,0.6604255020089264,0.03695091634055596,0.2631671216796347,0.16007585316693673
xlsr53,voicing,16,0.87753332586624,0.04654068874732607,0.7210527740418384,0.05205464926872482,0.3819393277143636,0.15648055182440157
