model,feature,layer,language,accuracy,accuracy_std,macro_f1,macro_f1_std,majority,majority_std,majority_acc,majority_acc_std,n,n_classes,n_splits
base,voicing,0,en_us,0.7739097349144244,0.0173113023314367,0.7697854839228779,0.0179372440537246,0.3635478122434126,0.0065156472513934,0.5713758230838103,0.0162048585431784,3225,2,5
base,voicing,0,de_de,0.7921137684061595,0.0153828351707177,0.783827736658802,0.0154359406419232,0.3777473386959393,0.0023806385764874,0.6070878683327399,0.0061761042622737,4378,2,5
base,voicing,0,es_419,0.8112267976431948,0.0366806698198479,0.7904451764957958,0.0412397406625571,0.4020137145795053,0.0102300852890658,0.672765813488936,0.028450638772566,3895,2,5
base,nasal,0,en_us,0.8414621027032684,0.0071423057222537,0.6931865266213899,0.0106034870425756,0.4708542834800743,0.000998723438648,0.889845334030811,0.0035679468958034,8766,2,5
base,nasal,0,de_de,0.8482002589598027,0.0084518468364242,0.7478018125841169,0.0080823019517757,0.4631361452178664,0.002013484514065,0.8626957651200764,0.0069674358671549,11952,2,5
base,nasal,0,es_419,0.8434426905660111,0.0182786677966121,0.6873506679849198,0.0218614597226107,0.4732518176840951,0.0009884608688558,0.8984470179298196,0.0035569652039121,11564,2,5
base,manner,0,en_us,0.6134990635356676,0.0120523358234293,0.5443059331123326,0.0146161118066767,0.0967739300855188,0.0019868885261517,0.3192048040209283,0.0087012505226066,5220,5,5
base,manner,0,de_de,0.6527827525891459,0.0120740632523415,0.5673304503590618,0.0217735959719356,0.0964573612325561,0.0025802959505719,0.3178662146015167,0.0110796054927506,7137,5,5
base,manner,0,es_419,0.6336320330378602,0.034412617316318,0.5550576182349057,0.020779888767096,0.0993967967884852,0.0015992278675927,0.3306956045218964,0.0071042750691257,6527,5,5
base,place,0,en_us,0.6785560824076114,0.0102653457672408,0.5872274281654958,0.0118154628521269,0.2695526351283239,0.0026746492934694,0.6788552512228371,0.0113326899587328,5220,3,5
