model,feature,train_lang,layer,rep,fold,within,cross,gap,within_norm,cross_norm,gap_norm
base,manner,en_us,8,0,0,0.730706069413064,0.4834492482687556,0.24725682114430841,0.7007056561303163,0.4293136888361714,0.27139196729414494
base,manner,en_us,8,0,1,0.7986013280108024,0.502101052162526,0.29650027584827643,0.7783002870066129,0.4499202393542221,0.3283800476523908
base,manner,en_us,8,0,2,0.7757401355843896,0.5188314199019857,0.2569087156824039,0.7517662275197579,0.4684039833380353,0.28336224418172257
base,manner,en_us,8,0,3,0.7999681312597202,0.49470913025382285,0.30525900100589737,0.7781969230667536,0.4417536291376064,0.3364432939291472
base,manner,en_us,8,0,4,0.7760938232609519,0.4923002893526299,0.28379353390832196,0.7514894718284841,0.43909233685708027,0.31239713497140387
base,manner,en_us,8,1,0,0.7772771243438901,0.4948875522213142,0.28238957212257587,0.7534540141851536,0.4419507500867425,0.31150326409841106
base,manner,en_us,8,1,1,0.7981207878887886,0.4989585476183246,0.299162240270464,0.7776176791362859,0.44644839400285,0.33116928513343585
base,manner,en_us,8,1,2,0.7673552057698896,0.4863845920145754,0.2809706137553142,0.7407437139770585,0.4325566625201421,0.30818705145691644
base,manner,en_us,8,1,3,0.7758275565025181,0.4786920447377654,0.2971355117647527,0.7521702701012216,0.4240579207911974,0.3281123493100242
base,manner,en_us,8,1,4,0.7407040451029994,0.5058786589007107,0.23482538620228866,0.7124488278887411,0.4540937468889936,0.25835508099974747
base,manner,en_us,8,2,0,0.8005818227356689,0.498020489876295,0.3025613328593739,0.7795045948146827,0.44541202591963003,0.3340925688950527
base,manner,en_us,8,2,1,0.7389105297732331,0.49263092039333206,0.24627960937990107,0.7131142647508281,0.4394576186969424,0.2736566460538857
base,manner,en_us,8,2,2,0.7856806038768369,0.503056952855607,0.2826236510212299,0.7619059579235051,0.45097632036571034,0.3109296375577948
base,manner,en_us,8,2,3,0.7398075557966145,0.5099939172986784,0.22981363849793612,0.7104241210175087,0.45864029265773165,0.2517838283597771
base,manner,en_us,8,2,4,0.8063074138697971,0.4911203354187126,0.3151870784510845,0.7848971796591239,0.4377887213737349,0.34710845828538894
base,manner,de_de,8,0,0,0.660054238048561,0.41519212888565077,0.24486210916291024,0.6242348191158275,0.36156481731428036,0.2626700018015471
