model,feature,train_lang,layer,rep,fold,within,cross,gap,within_norm,cross_norm,gap_norm
xlsr300m,manner,en_us,16,0,0,0.7963601412281841,0.5561517515440666,0.2402083896841175,0.7736738522699463,0.5096355609223248,0.2640382913476216
xlsr300m,manner,en_us,16,0,1,0.8438976244890306,0.5614457533086341,0.2824518711803965,0.8281624625100601,0.5154843847371969,0.31267807777286316
xlsr300m,manner,en_us,16,0,2,0.8271094195919625,0.5782228813416895,0.24888653825027296,0.8086270090601269,0.5340197895875788,0.27460721947254807
xlsr300m,manner,en_us,16,0,3,0.8620628136617476,0.5556394971138952,0.3064233165478525,0.8470499098667965,0.5090696211958756,0.3379802886709209
xlsr300m,manner,en_us,16,0,4,0.8530607415571196,0.5594537507923473,0.29360699076477237,0.8369140447280797,0.5132836163440841,0.3236304283839956
xlsr300m,manner,en_us,16,1,0,0.8276763371483046,0.5608193579312941,0.26685697921701046,0.8092440787151314,0.5147923418623659,0.2944517368527655
xlsr300m,manner,en_us,16,1,1,0.8509667464147196,0.5689736037030602,0.28199314271165943,0.8358307402155521,0.5238011690186829,0.31202957119686925
xlsr300m,manner,en_us,16,1,2,0.8274468471459594,0.5603522046983709,0.2670946424475885,0.8077090454633628,0.5142762300294982,0.29343281543386457
xlsr300m,manner,en_us,16,1,3,0.8450327714571164,0.5600236950460458,0.28500907641107065,0.8286788251323294,0.5139132919037888,0.3147655332285406
xlsr300m,manner,en_us,16,1,4,0.834950550937339,0.5655214268784368,0.2694291240589023,0.81696527987435,0.5199871971080301,0.2969780827663199
xlsr300m,manner,en_us,16,2,0,0.8724710086142824,0.551111669705107,0.32135933890917534,0.8589920085810641,0.5040672683528153,0.3549247402282487
xlsr300m,manner,en_us,16,2,1,0.8257096940696386,0.5725314366889799,0.2531782573806587,0.8084893943819083,0.5277318700691925,0.2807575243127157
xlsr300m,manner,en_us,16,2,2,0.8319704153001913,0.5519577777986223,0.280012637501569,0.8133307403188956,0.5050020502791135,0.30832869003978214
xlsr300m,manner,en_us,16,2,3,0.8365443903030233,0.5716245694656052,0.26491982083741805,0.8180854098298787,0.5267299613338194,0.2913554484960592
xlsr300m,manner,en_us,16,2,4,0.807649814748439,0.5684211652194758,0.23922864952896317,0.7863879657588553,0.5231908338690678,0.26319713188978744
xlsr300m,manner,de_de,16,0,0,0.6920161985817503,0.5540282274629785,0.1379879711187718,0.6595645488121851,0.5131322881653305,0.14643226064685455
xlsr300m,manner,de_de,16,0,1,0.714795451164355,0.5098886429965646,0.2049068081677904,0.6836942590639482,0.4649450713640427,0.21874918769990553
xlsr300m,manner,de_de,16,0,2,0.7777873626329519,0.5469641312201297,0.23082323141282224,0.7537038597873219,0.5054204091054284,0.2482834506818935
xlsr300m,manner,de_de,16,0,3,0.6945484185993933,0.5182043666436061,0.17634405195578717,0.6612453500991569,0.4740233529809549,0.18722199711820198
xlsr300m,manner,de_de,16,0,4,0.7705163462700991,0.5289742987537082,0.24154204751639097,0.7459699053140317,0.48578089578065037,0.26018900953338137
