model,feature,n_folds,gap_mean,ci_lo,ci_hi,sig
base,manner,45,0.24004408210771205,0.11276426331380172,0.30505143298637727,True
base,nasal,45,0.05754817213826459,-0.08294638022723322,0.132345028390808,False
base,place,45,0.1531300371751774,0.04387713580498601,0.2085871336827625,True
base,voicing,45,0.19427531959973546,0.12836829555927973,0.25427688776651286,True
xlsr300m,manner,45,0.2270746068862282,0.10645603122801085,0.3056780243687682,True
xlsr300m,nasal,45,0.07497612219195932,-0.05891078637466868,0.12879595398156046,False
xlsr300m,place,45,0.15838140174587303,-0.00194273538810167,0.22726283197844668,False
xlsr300m,voicing,45,0.14217046847468695,0.0814282573910714,0.2053466948726364,True
xlsr53,manner,45,0.2529856456236831,0.1498070394400629,0.33639353710591646,True
xlsr53,nasal,45,0.04944151196798553,-0.04276992443755301,0.08579307416282825,False
xlsr53,place,45,0.16454436840231687,0.025097091997605493,0.23247812028158624,True
xlsr53,voicing,45,0.16809720215225568,0.11350012403702557,0.24064698479114807,True
